Name	ID	F635 Median	B635 Median	Flags	orig_row_number	ratio_naive	zscore_naive	zscore_mean_naive
YIF1A	IOH3046	78.0	81.0	0	185	0.962962962963	-1.05400770764	-0.742043115915
YIF1A	IOH3046	78.0	78.0	0	186	1.0	-0.430078524188	-0.742043115915
RAP1B	IOH2916	84.0	76.0	0	187	1.10526315789	1.34319389195	1.40415013125
RAP1B	IOH2916	89.0	80.0	0	188	1.1125	1.46510637056	1.40415013125
GLYATL2	IOH13602	82.0	79.0	0	189	1.03797468354	0.209646334798	0.776420113372
GLYATL2	IOH13602	84.0	76.0	0	190	1.10526315789	1.34319389195	0.776420113372
UNQ501	IOH5958	77.0	76.0	0	191	1.01315789474	-0.208419472171	0.0132395798459
UNQ501	IOH5958	79.0	76.0	0	192	1.03947368421	0.234898631863	0.0132395798459
KIAA0859	IOH22144	92.0	86.0	0	193	1.06976744186	0.745229937669	0.157575706741
KIAA0859	IOH22144	85.0	85.0	0	194	1.0	-0.430078524188	0.157575706741
ND	IOH12477	84.0	81.0	0	195	1.03703703704	0.193850659267	-0.266211019407
ND	IOH12477	79.0	80.0	0	196	0.9875	-0.640654623604	-0.266211019407
FGD3	IOH21744	84.0	84.0	0	197	1.0	-0.430078524188	-0.329804191133
FGD3	IOH21744	85.0	84.0	0	198	1.0119047619	-0.229529858077	-0.329804191133
PCNP	IOH12479	82.0	84.0	0	199	0.97619047619	-0.831175856409	-0.84386880996
PCNP	IOH12479	77.0	79.0	0	200	0.974683544304	-0.856561763511	-0.84386880996
EFHC2	IOH22525	80.0	78.0	0	201	1.02564102564	0.00187244897325	0.114067506937
EFHC2	IOH22525	80.0	77.0	0	202	1.03896103896	0.226262564901	0.114067506937
PFDN4	IOH12205	84.0	79.0	0	203	1.06329113924	0.636129574121	1.48909605277
PFDN4	IOH12205	92.0	79.0	0	204	1.16455696203	2.34206253142	1.48909605277
DDX1	IOH14578	76.0	77.0	0	205	0.987012987013	-0.648858887217	0.568826554382
DDX1	IOH14578	86.0	76.0	0	206	1.13157894737	1.78651199598	0.568826554382
ND	IOH14285	80.0	78.0	0	207	1.02564102564	0.00187244897325	-1.00778009448
ND	IOH14285	78.0	78.0	0	208	1.0	-0.430078524188	-1.00778009448
GTSE1	IOH6470	81.0	76.0	0	209	1.06578947368	0.678216735897	0.124069105854
GTSE1	IOH6470	75.0	75.0	0	210	1.0	-0.430078524188	0.124069105854
BCL2L1	IOH13818	78.0	76.0	0	211	1.02631578947	0.0132395798459	0.474530039449
BCL2L1	IOH13818	80.0	74.0	0	212	1.08108108108	0.935820499051	0.474530039449
ND	IOH12680	77.0	72.0	0	213	1.06944444444	0.73978869479	0.700367623547
ND	IOH12680	80.0	76.0	0	214	1.05263157895	0.45655768388	0.700367623547
TREM1	IOH12076	76.0	79.0	0	215	0.962025316456	-1.06980338317	-0.430078524188
TREM1	IOH12076	82.0	79.0	0	216	1.03797468354	0.209646334798	-0.430078524188
ABCB7	IOH6466	81.0	81.0	0	217	1.0	-0.430078524188	-0.538066267478
ABCB7	IOH6466	77.0	78.0	0	218	0.987179487179	-0.646054010768	-0.538066267478
EXOSC5	IOH6517	88.0	77.0	0	219	1.14285714286	1.97650546914	1.41293833146
EXOSC5	IOH6517	85.0	79.0	0	220	1.07594936709	0.849371193783	1.41293833146
SEMA4A	IOH10371	81.0	79.0	0	221	1.0253164557	-0.00359528486423	0.439504184563
SEMA4A	IOH10371	83.0	77.0	0	222	1.07792207792	0.88260365399	0.439504184563
CYB5R2	IOH3051	97.0	78.0	0	223	1.24358974359	3.67345572084	3.8382791185
CYB5R2	IOH3051	96.0	76.0	0	224	1.26315789474	4.00310251615	3.8382791185
NUP62	IOH25797	86.0	87.0	0	225	0.988505747126	-0.623711719053	0.676396875043
NUP62	IOH25797	96.0	84.0	0	226	1.14285714286	1.97650546914	0.676396875043
LYPD3	IOH25806	83.0	83.0	0	227	1.0	-0.430078524188	0.0835217182903
LYPD3	IOH25806	87.0	82.0	0	228	1.06097560976	0.597121960768	0.0835217182903
ND	IOH25850	85.0	81.0	0	229	1.04938271605	0.401827053752	-0.468784010399
ND	IOH25850	81.0	82.0	0	230	0.987804878049	-0.635518621179	-0.468784010399
FAM26C	IOH27486	79.0	80.0	0	231	0.9875	-0.640654623604	-1.27238292185
FAM26C	IOH27486	73.0	80.0	0	232	0.9125	-1.9041112201	-1.27238292185
ND	IOH21926	83.0	78.0	0	233	1.0641025641	0.649798908715	0.257114155493
ND	IOH21926	78.0	76.0	0	234	1.02631578947	0.0132395798459	0.257114155493
TRUB1	IOH22254	86.0	78.0	0	235	1.10256410256	1.29772536846	1.83766408491
TRUB1	IOH22254	91.0	78.0	0	236	1.16666666667	2.37760280136	1.83766408491
ASB17	IOH25873	79.0	77.0	0	237	1.02597402597	0.00748220187145	-0.0974732425549
ASB17	IOH25873	75.0	74.0	0	238	1.01351351351	-0.202428686981	-0.0974732425549
TWF1	IOH25866	91.0	75.0	0	239	1.21333333333	3.16375357251	2.47513278425
TWF1	IOH25866	86.0	76.0	0	240	1.13157894737	1.78651199598	2.47513278425
WDR54	IOH26680	85.0	77.0	0	241	1.1038961039	1.32016438005	0.334213401922
WDR54	IOH26680	75.0	76.0	0	242	0.986842105263	-0.651737576205	0.334213401922
C1orf110	IOH26253	74.0	76.0	0	243	0.973684210526	-0.873396628222	-0.319248998179
C1orf110	IOH26253	79.0	76.0	0	244	1.03947368421	0.234898631863	-0.319248998179
ATF7	IOH26887	79.0	72.0	0	245	1.09722222222	1.20773558238	0.721317107122
ATF7	IOH26887	79.0	76.0	0	246	1.03947368421	0.234898631863	0.721317107122
YPEL3	IOH27026	81.0	79.0	0	247	1.0253164557	-0.00359528486423	-0.00359528486423
YPEL3	IOH27026	81.0	79.0	0	248	1.0253164557	-0.00359528486423	-0.00359528486423
MDP-1	IOH26890	77.0	79.0	0	249	0.974683544304	-0.856561763511	-0.430078524188
MDP-1	IOH26890	81.0	79.0	0	250	1.0253164557	-0.00359528486423	-0.430078524188
SYT16	IOH26332	77.0	77.0	0	251	1.0	-0.430078524188	-0.320688342673
SYT16	IOH26332	78.0	77.0	0	252	1.01298701299	-0.211298161158	-0.320688342673
WFDC2	IOH26919	88.0	80.0	0	253	1.1	1.25453027114	-0.00372691549365
WFDC2	IOH26919	77.0	81.0	0	254	0.950617283951	-1.26198410213	-0.00372691549365
RALA	IOH26207	85.0	78.0	0	255	1.08974358974	1.08174988188	-0.0023348657004
RALA	IOH26207	74.0	77.0	0	256	0.961038961039	-1.08641961328	-0.0023348657004
RPS24	IOH3623	81.0	87.0	0	257	0.931034482759	-1.59187769338	-1.20461130365
RPS24	IOH3623	85.0	87.0	0	258	0.977011494253	-0.817344913918	-1.20461130365
CARS	IOH5687	91.0	84.0	0	259	1.08333333333	0.973762138586	0.888162098173
CARS	IOH5687	88.0	82.0	0	260	1.07317073171	0.80256205776	0.888162098173
CSTF3	IOH12987	75.0	80.0	0	261	0.9375	-1.48295902127	-0.852530575485
CSTF3	IOH12987	82.0	81.0	0	262	1.01234567901	-0.222102129703	-0.852530575485
GATA3	IOH4586	74.0	79.0	0	263	0.936708860759	-1.4962866225	-0.306841484253
GATA3	IOH4586	83.0	77.0	0	264	1.07792207792	0.88260365399	-0.306841484253
MED31	IOH12758	74.0	75.0	0	265	0.986666666667	-0.654693030232	0.0191504878997
MED31	IOH12758	80.0	75.0	0	266	1.06666666667	0.692994006031	0.0191504878997
ND	IOH4756	82.0	78.0	0	267	1.05128205128	0.433823422134	0.325835678844
ND	IOH4756	81.0	78.0	0	268	1.03846153846	0.217847935554	0.325835678844
SSBP1	IOH3259	81.0	77.0	0	269	1.05194805195	0.445042927931	0.561629831914
SSBP1	IOH3259	81.0	76.0	0	270	1.06578947368	0.678216735897	0.561629831914
ZNF577	IOH5084	80.0	76.0	0	271	1.05263157895	0.45655768388	-0.0975899461625
ZNF577	IOH5084	75.0	76.0	0	272	0.986842105263	-0.651737576205	-0.0975899461625
GLRA2	IOH28650	78.0	78.0	0	273	1.0	-0.430078524188	-0.64332014385
