Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
	IOH14840	100.0	81.0	0	19269	IOH14840_	1.23456790123	3.52147297103	2.37760280136
CD99L2	IOH10931	95.0	80.0	0	20039	IOH10931_CD99L2	1.1875	2.72856296705	1.96110188183
MT1H	IOH7425	108.0	90.0	0	20325	IOH7425_MT1H	1.2	2.93913906647	2.48486253739
TCEB2	IOH14150	103.0	86.0	0	20710	IOH14150_TCEB2	1.1976744186	2.89996211774	0.967026377793
CALCOCO1	IOH5116	116.0	89.0	0	20909	IOH5116_CALCOCO1	1.30337078652	4.68053242793	4.77517337149
CALCOCO1	IOH5116	117.0	89.0	0	20910	IOH5116_CALCOCO1	1.31460674157	4.86981431505	4.77517337149
RABEP2	IOH29076	101.0	85.0	0	21073	IOH29076_RABEP2	1.18823529412	2.74094979643	1.15543563612
ANXA1	IOH3222	107.0	86.0	0	21148	IOH3222_ANXA1	1.24418604651	3.68350109231	2.7374423579
NDUFAF1	IOH4599	106.0	88.0	0	21151	IOH4599_NDUFAF1	1.20454545455	3.01571219353	1.58664395013
GLTP	IOH57161	105.0	86.0	0	21386	IOH57161_GLTP	1.22093023256	3.29173160503	2.377235976
	BC117191	113.0	96.0	0	21535	BC117191_	1.17708333333	2.55308288421	-0.173977083124
IL10RA	IOH11336	109.0	92.0	0	21689	IOH11336_IL10RA	1.1847826087	2.68278555414	2.3037682644
EIF2B2	IOH27837	102.0	84.0	0	21862	IOH27837_EIF2B2	1.21428571429	3.1797974658	2.64811030448
MGC16824	IOH26703	133.0	98.0	0	21917	IOH26703_MGC16824	1.35714285714	5.58638145913	0.918821915769
GSTA2	IOH5711	101.0	86.0	0	22307	IOH5711_GSTA2	1.17441860465	2.50819263045	1.9989518579
GSTA2	IOH5711	99.0	84.0	0	22308	IOH5711_GSTA2	1.17857142857	2.57815146747	1.9989518579
C9orf58	IOH59931	102.0	86.0	0	23000	IOH59931_C9orf58	1.18604651163	2.7040773741	1.83066187009
GDI1	IOH3509	94.0	80.0	0	23744	IOH3509_GDI1	1.175	2.51798686764	1.14189654355
